Accession,Gene Name,Description,Unique peptides,Average(ADCY7),Average(NC),log2FoldChange,FoldChange,Regulation,p-value,q-value
O00139,KIF2A,Kinesin-like protein KIF2A,17,14.284635,14.212995,0.0716400000000021,1.05091063949777,Up,0.246195329274065,0.513930806
P05161,ISG15,Ubiquitin-like protein ISG15,1,10.141463,10.5023725,-0.3609095,0.778673535580244,Down,0.246468923205558,0.514255720979608
Q9C0C9,UBE2O,(E3-independent) E2 ubiquitin-conjugating enzyme,3,14.588075,15.610325,-1.02225,0.492347896666053,Down,0.246538540478464,0.514255720979608
O75787,ATP6AP2,Renin receptor,4,10.28144,10.793805,-0.512365,0.701072232503984,Down,0.246584412132604,0.514255720979608
P47985,UQCRFS1,"Cytochrome b-c1 complex subunit Rieske, mitochondrial",7,13.64076,14.01428,-0.37352,0.771896863115602,Down,0.24676573939159,0.514471536794644
Q05682,CALD1,Caldesmon,24,17.62313,17.497695,0.125435,1.09083659106802,Up,0.247009650871362,0.514523364768499
Q12986,NFX1,Transcriptional repressor NF-X1,3,10.639255,10.988665,-0.34941,0.784905024545519,Down,0.247019312025131,0.514523364768499
P07099,EPHX1,Epoxide hydrolase 1,8,12.556505,13.171485,-0.61498,0.652938945137496,Down,0.247024154397102,0.514523364768499
P49590,HARS2,"Histidine--tRNA ligase, mitochondrial",9,18.11613,18.28306,-0.16693,0.890736118344237,Down,0.247335520723831,0.51497026509778
A6ZKI3,RTL8C,Retrotransposon Gag-like protein 8C,1,11.470865,12.33686,-0.865995,0.548667870324263,Down,0.247465650673603,0.51497026509778
P15374,UCHL3,Ubiquitin carboxyl-terminal hydrolase isozyme L3,5,13.84888,14.35464,-0.50576,0.704289265979861,Down,0.247472471168187,0.51497026509778
Q8NBS9,TXNDC5,Thioredoxin domain-containing protein 5,10,13.20856,13.03084,0.177719999999999,1.13109491727095,Up,0.247829929585308,0.51546147323447
O75607,NPM3,Nucleoplasmin-3,3,15.636255,15.351795,0.284460000000001,1.21795429868917,Up,0.247885601827032,0.51546147323447
Q9NRZ9,HELLS,Lymphoid-specific helicase,38,15.266965,15.214035,0.0529299999999999,1.03736960185746,Up,0.247942506190404,0.51546147323447
P84090,ERH,Enhancer of rudimentary homolog,4,17.838255,17.51698,0.321275,1.24943426446155,Up,0.248131725888187,0.515594360396357
Q9H2H8,PPIL3,Peptidyl-prolyl cis-trans isomerase-like 3,6,13.386285,13.136085,0.250200000000001,1.18937198554219,Up,0.248162454292754,0.515594360396357
Q8TDX7,NEK7,Serine/threonine-protein kinase Nek7,7,11.778675,12.020355,-0.24168,0.845759862114477,Down,0.248352790797109,0.515801714167334
Q8NDH3,NPEPL1,Probable aminopeptidase NPEPL1,7,12.67994,12.937005,-0.257065,0.836788540688923,Down,0.248418347131884,0.515801714167334
O60841,EIF5B,Eukaryotic translation initiation factor 5B,35,15.96843,15.823795,0.144634999999999,1.10545094026433,Up,0.24878477283139,0.515984735779537
Q9BZG1,RAB34,Ras-related protein Rab-34,8,13.80558,14.100135,-0.294555,0.815323780644973,Down,0.248791722540709,0.515984735779537
O94854,MACF1,"Microtubule-actin cross-linking factor 1, isoforms 6/7",1,11.063522,9.9091525,1.1543695,2.225870253,Up,0.248807229536628,0.515984735779537
Q9UN79,SOX13,Transcription factor SOX-13,9,11.42589,11.21307,0.212819999999999,1.15895134458933,Up,0.248818785433407,0.515984735779537
Q8WY36,BBX,HMG box transcription factor BBX,20,14.32699,14.47583,-0.14884,0.901975405108925,Down,0.2490170784887,0.516233962274723
Q969M3,YIPF5,Protein YIPF5,1,11.6715145,10.451382,1.2201325,2.3296811256891,Up,0.24916550249445,0.516379682027539
P53384,NUBP1,Cytosolic Fe-S cluster assembly factor NUBP1,1,9.651888,10.3573685,-0.7054805,0.613238211196776,Down,0.249431263332558,0.516768407324412
O95251,KAT7,Histone acetyltransferase KAT7,16,14.10046,13.93651,0.16395,1.12035038513579,Up,0.249666539388006,0.517093750803927
Q9BUG6,ZSCAN5A,Zinc finger and SCAN domain-containing protein 5A,3,10.8661175,9.8974195,0.968697999999998,1.95707358282224,Up,0.249844934018849,0.517301118086018
Q9P2E3,ZNFX1,NFX1-type zinc finger-containing protein 1,7,12.27583,12.460375,-0.184545,0.879926545130498,Down,0.24994132690533,0.517338624966279
Q96EL2,MRPS24,Small ribosomal subunit protein uS3m,5,12.286205,12.124595,0.16161,1.11853468958759,Up,0.250036990582526,0.517374599486511
Q96PQ6,ZNF317,Zinc finger protein 317,6,11.353355,12.21262,-0.859265,0.551233319492005,Down,0.250228616243489,0.517609053130898
Q9UKN5,PRDM4,PR domain zinc finger protein 4,3,12.28976,11.956125,0.333634999999999,1.26018452617519,Up,0.25042877936148,0.517861014643311
Q9Y666,SLC12A7,Solute carrier family 12 member 7,6,11.74443,11.512955,0.231475000000001,1.17403465959109,Up,0.250644177778054,0.518031715471685
O14548,COX7A2L,"Cytochrome c oxidase subunit 7A2-like, mitochondrial",4,15.296515,15.485515,-0.189,0.877213548732822,Down,0.250740889445648,0.518031715471685
P48739,PITPNB,Phosphatidylinositol transfer protein beta isoform,10,12.119185,12.539485,-0.4203,0.74726921789465,Down,0.250746475683753,0.518031715471685
Q5H9F3,BCORL1,BCL-6 corepressor-like protein 1,21,12.11594,12.311405,-0.195465,0.87329137700353,Down,0.251147872960868,0.518518612125901
Q9NR19,ACSS2,"Acetyl-coenzyme A synthetase, cytoplasmic",3,10.85218,11.873805,-1.021625,0.492561236346671,Down,0.251218216322976,0.518518612125901
Q8N8K9,KIAA1958,Uncharacterized protein KIAA1958,3,12.13884,13.16771,-1.02887,0.49009386761503,Down,0.251234368835103,0.518518612125901
P07203,GPX1,Glutathione peroxidase 1,3,10.928375,11.301415,-0.37304,0.77215372414792,Down,0.251348430067064,0.518518612125901
P24941,CDK2,Cyclin-dependent kinase 2,15,14.84397,14.770905,0.0730650000000015,1.05194917325044,Up,0.251374433840428,0.518518612125901
Q9NS37,CREBZF,CREB/ATF bZIP transcription factor,7,12.92151,12.77201,0.149499999999998,1.10918499122155,Up,0.251744826921049,0.519120611894294
P41221,WNT5A,Protein Wnt-5a,3,10.0393195,10.7559395,-0.71662,0.608521440279908,Down,0.251849949611147,0.51917539519029
Q9BV44,THUMPD3,tRNA (guanine(6)-N(2))-methyltransferase THUMP3,2,10.800135,11.886205,-1.08607,0.471042781259624,Down,0.252085407291408,0.519251490491786
O15066,KIF3B,Kinesin-like protein KIF3B,3,9.292194,10.318803,-1.026609,0.490862547737401,Down,0.252115000267141,0.519251490491786
Q9UNH7,SNX6,Sorting nexin-6,14,13.553245,13.718015,-0.16477,0.892070725435161,Down,0.252122565136653,0.519251490491786
P41743,PRKCI,Protein kinase C iota type,8,12.553385,12.764465,-0.21108,0.863890281823012,Down,0.252567889765235,0.519863453980647
Q92613,JADE3,Protein Jade-3,9,12.48597,12.81512,-0.32915,0.796005332148392,Down,0.252577023866221,0.519863453980647
O00161,SNAP23,Synaptosomal-associated protein 23,6,11.20643,11.765995,-0.559565,0.678506715566496,Down,0.252730602726395,0.520017606917417
Q9NZN8,CNOT2,CCR4-NOT transcription complex subunit 2,11,12.67448,12.845095,-0.170615,0.888463861154025,Down,0.252942998567074,0.520073682137944
Q12857,NFIA,Nuclear factor 1 A-type,6,13.593015,13.739865,-0.14685,0.903220414972607,Down,0.252975567093757,0.520073682137944
P52594,AGFG1,Arf-GAP domain and FG repeat-containing protein 1,9,14.67452,14.87286,-0.19834,0.871552816443653,Down,0.252993930711679,0.520073682137944
P58012,FOXL2,Forkhead box protein L2,3,14.40384,14.198105,0.205734999999999,1.15327374766486,Up,0.253251387127757,0.520250765672106
Q9BPX5,ARPC5L,Actin-related protein 2/3 complex subunit 5-like protein,8,16.601115,16.378965,0.222149999999999,1.1664706438595,Up,0.253320967050745,0.520250765672106
P54577,YARS1,"Tyrosine--tRNA ligase, cytoplasmic",23,14.98645,14.93365,0.0528000000000013,1.03727612959296,Up,0.253497362798597,0.520250765672106
Q99958,FOXC2,Forkhead box protein C2,6,14.199345,13.95306,0.246284999999999,1.18614879634063,Up,0.253506491087572,0.520250765672106
Q96BY9,SARAF,Store-operated calcium entry-associated regulatory factor,2,10.208954,9.179023,1.029931,2.04192658953853,Up,0.253608768008143,0.520250765672106
P29966,MARCKS,Myristoylated alanine-rich C-kinase substrate,5,14.070735,13.648675,0.422059999999998,1.33983932362012,Up,0.2537834363508,0.520250765672106
O43181,NDUFS4,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",4,13.19888,13.30312,-0.10424,0.930294885323323,Down,0.253821770285576,0.520250765672106
Q03001,DST,Dystonin,67,14.49634,14.43904,0.0573000000000015,1.04051661337424,Up,0.253877708363928,0.520250765672106
Q15366,PCBP2,Poly(rC)-binding protein 2,13,18.6208,18.499475,0.121325000000006,1.08773340004221,Up,0.254014813196768,0.520250765672106
Q96MH6,TMEM68,DGAT1/2-independent enzyme synthesizing storage lipids,1,10.154895,9.105466,1.049429,2.06971052095305,Up,0.254125612896856,0.520250765672106
Q9BRT2,UQCC2,Ubiquinol-cytochrome c reductase complex assembly factor 2,3,12.5164,12.343285,0.173115000000001,1.12749028298522,Up,0.254158315270874,0.520250765672106
Q9Y6A4,CFAP20,Cilia- and flagella-associated protein 20,11,14.84272,14.48995,0.35277,1.27701015708862,Up,0.254177811819499,0.520250765672106
Q8N6S5,ARL6IP6,ADP-ribosylation factor-like protein 6-interacting protein 6,4,12.04905,12.26032,-0.21127,0.863776516722993,Down,0.254189944849974,0.520250765672106
Q8N2K0,ABHD12,Lysophosphatidylserine lipase ABHD12,9,13.53289,13.28935,0.243540000000001,1.18389406976281,Up,0.254299251161728,0.520250765672106
Q8TAE8,GADD45GIP1,Large ribosomal subunit protein mL64,7,13.99606,13.823645,0.172415000000001,1.12694335398422,Up,0.254321748119379,0.520250765672106
Q13425,SNTB2,Beta-2-syntrophin,17,14.478595,14.37883,0.0997649999999997,1.07159889601708,Up,0.254419432270596,0.520250765672106
P01857,IGHG1,Immunoglobulin heavy constant gamma 1,3,13.296885,12.60225,0.694635,1.61847490921065,Up,0.254445926469643,0.520250765672106
Q9BXS4,TMEM59,Transmembrane protein 59,3,10.0515675,8.009294,2.0422735,4.11894111109176,Up,0.254497007931294,0.520250765672106
Q9UKM9,RALY,RNA-binding protein Raly,12,16.19974,16.00917,0.190570000000001,1.1412145136937,Up,0.254626630400548,0.52035479292431
Q9BUH6,PAXX,Protein PAXX,6,15.640795,15.87711,-0.236315,0.848910873854015,Down,0.254867523901991,0.520686078970095
Q86XK2,FBXO11,F-box only protein 11,12,13.86482,13.56274,0.30208,1.23292069120837,Up,0.255324766068804,0.521009162987275
Q9BQC3,DPH2,2-(3-amino-3-carboxypropyl)histidine synthase subunit 2,4,14.82556,15.19887,-0.37331,0.772009229301679,Down,0.255333768677739,0.521009162987275
Q8TF76,HASPIN,Serine/threonine-protein kinase haspin,12,12.28571,11.963585,0.322125,1.25017061692257,Up,0.255368658678354,0.521009162987275
Q96EB6,SIRT1,NAD-dependent protein deacetylase sirtuin-1,3,11.31936,11.705465,-0.386105,0.765192691813197,Down,0.255409221627869,0.521009162987275
Q96A19,CCDC102A,Coiled-coil domain-containing protein 102A,5,11.202435,11.00553,0.196905000000001,1.14623670472292,Up,0.255419834782686,0.521009162987275
O75251,NDUFS7,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",3,13.72927,13.999035,-0.269765,0.829454644335881,Down,0.255586380989001,0.521188025904445
P14678,SNRPB,Small nuclear ribonucleoprotein-associated proteins B and B',9,18.632625,18.399575,0.233049999999999,1.17531706109928,Up,0.25597743705341,0.52182445449907
Q9UBN7,HDAC6,Histone deacetylase 6,5,15.265025,15.801075,-0.53605,0.689656558824375,Down,0.256171321368322,0.521904044578423
Q96IG2,FBXL20,F-box/LRR-repeat protein 20,5,11.174865,11.4527,-0.277835,0.824827878190281,Down,0.256174416797156,0.521904044578423
Q9UI30,TRMT112,Multifunctional methyltransferase subunit TRM112-like protein,5,15.267365,14.869825,0.397539999999999,1.31725987948126,Up,0.256354883226566,0.522110762170839
O00469,PLOD2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",14,17.564555,17.656235,-0.09168,0.938429323702531,Down,0.25646512224027,0.522174366261844
Q99676,ZNF184,Zinc finger protein 184,5,12.89472,13.20128,-0.30656,0.808567431948384,Down,0.256555540285769,0.522197587233953
Q9BZX2,UCK2,Uridine-cytidine kinase 2,4,15.38815,15.75613,-0.36798,0.774866672817706,Down,0.25694546037216,0.522830217857021
Q96BZ8,LENG1,Leukocyte receptor cluster member 1,3,12.81098,12.410955,0.400024999999999,1.31953077630071,Up,0.257101965177566,0.522987654003858
P17931,LGALS3,Galectin-3,9,14.76478,15.06962,-0.30484,0.809531991539935,Down,0.257223825668234,0.523036864912263
Q9UK45,LSM7,U6 snRNA-associated Sm-like protein LSm7,2,15.626605,15.11477,0.511835,1.42586263314884,Up,0.257343652921345,0.523036864912263
O60476,MAN1A2,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB",9,12.93252,13.130085,-0.197565,0.872021130861589,Down,0.257387449425111,0.523036864912263
O94903,PLPBP,Pyridoxal phosphate homeostasis protein,8,11.906035,12.12842,-0.222385,0.857147266364284,Down,0.25744271774241,0.523036864912263
Q7Z5J4,RAI1,Retinoic acid-induced protein 1,28,13.16612,13.06849,0.0976299999999988,1.07001424261254,Up,0.257582937562736,0.523160920206552
O43169,CYB5B,Cytochrome b5 type B,4,13.283965,13.495465,-0.2115,0.86363882112011,Down,0.257776903434836,0.523258195798864
Q9P0S9,TMEM14C,Transmembrane protein 14C,1,7.337835,8.419988,-1.082153,0.472323427225676,Down,0.257789179228491,0.523258195798864
Q6NXT4,SLC30A6,Zinc transporter 6,2,12.118405,13.15548,-1.037075,0.487314481237863,Down,0.258009201383239,0.523544001210263
Q14534,SQLE,Squalene monooxygenase,7,13.09249,12.740235,0.352255,1.27655438310765,Up,0.258264137513936,0.523900455748804
Q8WTV0,SCARB1,Scavenger receptor class B member 1,6,16.91569,16.603585,0.312104999999999,1.2415178464705,Up,0.259049459363045,0.525301050700484
O43674,NDUFB5,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",3,12.54026,13.060975,-0.520715,0.697026301161372,Down,0.259113545965135,0.525301050700484
P56378,ATP5MJ,"ATP synthase subunit ATP5MJ, mitochondrial",1,14.034255,13.37264,0.661614999999999,1.58185241027274,Up,0.259396084192856,0.525617854415873
O95139,NDUFB6,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6,2,12.69795,12.24192,0.456029999999998,1.37176181327902,Up,0.25945829928072,0.525617854415873
Q9P287,BCCIP,BRCA2 and CDKN1A-interacting protein,11,13.82282,13.70232,0.1205,1.08711156140222,Up,0.259668452691686,0.525617854415873
P0DP91,ERCC6,Chimeric ERCC6-PGBD3 protein,15,14.90198,14.71969,0.18229,1.134683548,Up,0.259675980535985,0.525617854415873
O15226,NKRF,NF-kappa-B-repressing factor,31,15.00372,15.141505,-0.137785,0.908913558693192,Down,0.259733459143694,0.525617854415873
O75165,DNAJC13,DnaJ homolog subfamily C member 13,50,13.1025,13.13033,-0.02783,0.980894580912154,Down,0.259746998414623,0.525617854415873
P14625,HSP90B1,Endoplasmin,33,17.00457,17.12189,-0.11732,0.921898611577511,Down,0.259875244706879,0.525716404122365
O75569,PRKRA,Interferon-inducible double-stranded RNA-dependent protein kinase activator A,6,11.018155,10.861035,0.157120000000001,1.11505896286768,Up,0.260088827893465,0.525987473545872
P82914,MRPS15,Small ribosomal subunit protein uS15m,6,12.710235,12.46923,0.241005000000001,1.18181564278817,Up,0.260399087777081,0.526453830259629
Q99741,CDC6,Cell division control protein 6 homolog,8,12.908845,12.17282,0.736025,1.66558040382005,Up,0.26056992384818,0.526563742890241
P50539,MXI1,Max-interacting protein 1,2,11.37359,11.65263,-0.27904,0.824139234644994,Down,0.260612801179298,0.526563742890241
Q149N8,SHPRH,E3 ubiquitin-protein ligase SHPRH,33,15.265595,15.12979,0.135805000000001,1.098705702,Up,0.260804823382889,0.526790671680169
P57740,NUP107,Nuclear pore complex protein Nup107,33,15.57037,15.76653,-0.19616,0.872870781298218,Down,0.261016511832203,0.527057172838077
Q96N66,MBOAT7,Lysophospholipid acyltransferase 7,8,13.60132,13.37685,0.224469999999998,1.16834795605333,Up,0.261414359460492,0.527699298006839
O14672,ADAM10,Disintegrin and metalloproteinase domain-containing protein 10,8,12.53086,12.178315,0.352545000000001,1.2768110125204,Up,0.261628472827144,0.52771851591432
Q14592,ZNF460,Zinc finger protein 460,7,13.450555,13.109875,0.340679999999999,1.26635333641133,Up,0.261658818858955,0.52771851591432
P55210,CASP7,Caspase-7,4,11.61374,12.07003,-0.45629,0.728858164947348,Down,0.261663425125016,0.52771851591432
Q99836,MYD88,Myeloid differentiation primary response protein MyD88,2,10.679195,11.83169,-1.152495,0.449846592515925,Down,0.261767737434328,0.52775694139467
Q96T60,PNKP,Bifunctional polynucleotide phosphatase/kinase,19,14.39964,14.46592,-0.06628,0.955097551904125,Down,0.261957366669243,0.52775694139467
Q96EP5,DAZAP1,DAZ-associated protein 1,14,17.61483,17.343825,0.271004999999995,1.20664810163716,Up,0.26200086982088,0.52775694139467
Q4KMP7,TBC1D10B,TBC1 domain family member 10B,7,12.026065,12.16164,-0.135575,0.910306949681364,Down,0.262157313204537,0.52775694139467
Q9H089,LSG1,Large subunit GTPase 1 homolog,13,13.382235,13.312235,0.0700000000000003,1.04971668362307,Up,0.262199822890253,0.52775694139467
Q5T200,ZC3H13,Zinc finger CCCH domain-containing protein 13,26,14.911515,14.808945,0.102569999999998,1.07368440875668,Up,0.262285523568844,0.52775694139467
P04626,ERBB2,Receptor tyrosine-protein kinase erbB-2,2,10.757865,11.970535,-1.21267,0.431469354667669,Down,0.262304696112226,0.52775694139467
Q9Y5B8,NME7,Nucleoside diphosphate kinase homolog 7,4,12.32195,12.420285,-0.098335,0.934110417237474,Down,0.262321312222952,0.52775694139467
P34913,EPHX2,Bifunctional epoxide hydrolase 2,3,7.4094275,9.7220435,-2.312616,0.201295105695298,Down,0.262625587815793,0.528208310978264
Q96H22,CENPN,Centromere protein N,2,10.5456735,9.534301,1.0113725,2.01582793501334,Up,0.262791245841727,0.528246711768528
Q8IXH7,NELFCD,Negative elongation factor C/D,16,15.33985,15.14543,0.194419999999997,1.14426404494579,Up,0.262878267043788,0.528246711768528
Q07889,SOS1,Son of sevenless homolog 1,5,13.82318,14.542175,-0.718995,0.607520501454473,Down,0.263090058388857,0.528246711768528
Q9UHJ3,SFMBT1,Scm-like with four MBT domains protein 1,21,12.43692,12.2866,0.150320000000001,1.10981560974876,Up,0.263112391950572,0.528246711768528
Q92966,SNAPC3,snRNA-activating protein complex subunit 3,6,11.012375,10.645335,0.367039999999999,1.28970400834806,Up,0.263152229976397,0.528246711768528
Q96B01,RAD51AP1,RAD51-associated protein 1,10,13.38837,13.05159,0.336779999999999,1.26293465924933,Up,0.263204458793829,0.528246711768528
Q9Y217,MTMR6,"Phosphatidylinositol-3,5-bisphosphate 3-phosphatase MTMR6",11,11.94736,12.06326,-0.1159,0.922806454506238,Down,0.263252087901909,0.528246711768528
P63220,RPS21,Small ribosomal subunit protein eS21,5,15.43247,15.28488,0.147589999999999,1.1077175005112,Up,0.263284107817451,0.528246711768528
Q8WVI0,UQCC5,Ubiquinol-cytochrome c reductase complex assembly factor 5,1,11.438365,11.621175,-0.18281,0.880985390469762,Down,0.263596787276777,0.528590246263903
Q5JS54,PSMG4,Proteasome assembly chaperone 4,4,12.203385,12.50919,-0.305805,0.808990687146965,Down,0.263615290011473,0.528590246263903
Q6P1Q0,LETMD1,LETM1 domain-containing protein 1,9,13.487475,13.620445,-0.13297,0.91195212883401,Down,0.263754389205015,0.528627648323253
Q8NHH9,ATL2,Atlastin-2,5,10.314035,10.63905,-0.325015,0.798290086325663,Down,0.263991104763756,0.528627648323253
P07910,HNRNPC,Heterogeneous nuclear ribonucleoproteins C1/C2,15,19.310345,19.136115,0.174230000000001,1.12836201093577,Up,0.263998705501515,0.528627648323253
Q9Y608,LRRFIP2,Leucine-rich repeat flightless-interacting protein 2,15,14.532095,14.450115,0.0819800000000015,1.05846972126736,Up,0.264018242754231,0.528627648323253
Q99666,RGPD5,RANBP2-like and GRIP domain-containing protein 5/6,26,15.76375,15.610725,0.153025000000001,1.11189842508163,Up,0.264033873069308,0.528627648323253
O15344,MID1,E3 ubiquitin-protein ligase Midline-1,4,11.78894,11.515265,0.273675000000001,1.20888331658663,Up,0.264142728865457,0.528685431578378
P23528,CFL1,Cofilin-1,10,18.49709,18.460945,0.0361449999999977,1.02537028892596,Up,0.264426541716414,0.528929653530314
Q8NFH5,NUP35,Nucleoporin NUP35,9,14.63577,14.666005,-0.030235,0.979260773211514,Down,0.264439535325212,0.528929653530314
Q99567,NUP88,Nuclear pore complex protein Nup88,22,15.07173,15.25469,-0.18296,0.880893797350479,Down,0.264522453700925,0.528929653530314
Q92733,PRCC,Proline-rich protein PRCC,9,14.606505,14.51816,0.0883450000000003,1.06314988113558,Up,0.2645848743488,0.528929653530314
Q9HCN4,GPN1,GPN-loop GTPase 1,2,10.2582135,9.5259405,0.732272999999999,1.6612543762447,Up,0.264738068997633,0.52894574242628
Q93008,USP9X,Ubiquitin carboxyl-terminal hydrolase 9X,23,14.475995,14.70176,-0.225765,0.855141460187493,Down,0.264821404952679,0.52894574242628
Q9Y2X0,MED16,Mediator of RNA polymerase II transcription subunit 16,23,13.905805,13.77903,0.126775,1.09185024955899,Up,0.26497606158333,0.52894574242628
Q3KQZ1,SLC25A35,Solute carrier family 25 member 35,1,9.4424325,10.4371495,-0.994717,0.501834304744805,Down,0.264995316258393,0.52894574242628
O00159,MYO1C,Unconventional myosin-Ic,43,15.50846,15.629355,-0.120895,0.919616973856939,Down,0.265102627922468,0.52894574242628
Q6PIW4,FIGNL1,Fidgetin-like protein 1,6,13.377025,12.927645,0.44938,1.36545332537013,Up,0.265128453836918,0.52894574242628
Q9BQD3,KXD1,KxDL motif-containing protein 1,1,10.112213,9.6527135,0.4594995,1.37506469771292,Up,0.265153161546114,0.52894574242628
O75688,PPM1B,Protein phosphatase 1B,2,9.891619,10.9230195,-1.0314005,0.489234992047504,Down,0.265560732694241,0.529145402804693
Q08117,TLE5,TLE family member 5,1,10.107762,10.425731,-0.317969,0.802198403455705,Down,0.265571352349622,0.529145402804693
Q13547,HDAC1,Histone deacetylase 1,17,18.49155,18.415615,0.0759349999999941,1.0540439327282,Up,0.265586890494529,0.529145402804693
P25325,MPST,3-mercaptopyruvate sulfurtransferase,3,12.016765,12.405875,-0.38911,0.763600525130087,Down,0.265611800557393,0.529145402804693
O60885,BRD4,Bromodomain-containing protein 4,37,16.18323,16.161105,0.0221250000000026,1.01545407944951,Up,0.265759899762995,0.529145402804693
O75486,SUPT3H,Transcription initiation protein SPT3 homolog,3,12.40966,12.000575,0.409084999999997,1.32784338930446,Up,0.265763275950231,0.529145402804693
Q460N5,PARP14,Protein mono-ADP-ribosyltransferase PARP14,53,16.751435,16.66294,0.0884950000000018,1.0632604247836,Up,0.265813699093899,0.529145402804693
Q9Y4B4,RAD54L2,Helicase ARIP4,5,14.47278,14.245775,0.227005000000002,1.17040269777421,Up,0.265896812478301,0.529151470541732
Q9BT17,MTG1,Mitochondrial ribosome-associated GTPase 1,10,12.523045,12.74367,-0.220625,0.85819357186035,Down,0.266146640630724,0.529489207684664
Q15052,ARHGEF6,Rho guanine nucleotide exchange factor 6,1,11.435575,10.99788,0.437695,1.3544386054988,Up,0.266366596460573,0.529767329523903
Q15149,PLEC,Plectin,247,17.314875,17.730325,-0.41545,0.749785587870331,Down,0.266601578528161,0.530024166487429
Q96FC9,DDX11,ATP-dependent DNA helicase DDX11,7,11.251995,11.05839,0.193605000000002,1.14361781562707,Up,0.266722131087011,0.530024166487429
Q9Y680,FKBP7,Peptidyl-prolyl cis-trans isomerase FKBP7,1,8.187767,8.5315595,-0.3437925,0.787967209678919,Down,0.266804541721161,0.530024166487429
P39210,MPV17,Mitochondrial inner membrane protein Mpv17,1,11.48148,12.50114,-1.01966,0.493232578692832,Down,0.266816523211329,0.530024166487429
O95182,NDUFA7,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7,5,12.45655,12.78274,-0.32619,0.797640185302799,Down,0.266898715752742,0.530028128728928
Q96MU7,YTHDC1,YTH domain-containing protein 1,10,14.22515,14.10803,0.11712,1.08456761688966,Up,0.267224097042274,0.530514886558242
Q14119,VEZF1,Vascular endothelial zinc finger 1,8,14.525585,14.580965,-0.05538,0.962340933032759,Down,0.267446450128137,0.5307968735426
Q53GS7,GLE1,mRNA export factor GLE1,19,13.07045,13.10749,-0.03704,0.974652607408652,Down,0.267640511138793,0.531022557224942
Q9BV10,ALG12,"Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase",1,8.383938,9.474446,-1.090508,0.469595991929536,Down,0.26777553555467,0.531131006746942
O14579,COPE,Coatomer subunit epsilon,5,12.45008,12.733545,-0.283465,0.821615326951587,Down,0.268099759713287,0.531614555039039
P10636,MAPT,Microtubule-associated protein tau,4,11.12341,11.547735,-0.424325,0.74518730403411,Down,0.268314715682076,0.531775373961748
P69892,HBG2,Hemoglobin subunit gamma-2,9,15.25712,13.007455,2.249665,4.75572403219341,Up,0.268341787284374,0.531775373961748
Q04721,NOTCH2,Neurogenic locus notch homolog protein 2,7,12.003785,11.508275,0.495509999999999,1.40981904523191,Up,0.268571532275573,0.532010072085622
P46937,YAP1,Transcriptional coactivator YAP1,4,13.34515,13.14966,0.195489999999999,1.14511302317097,Up,0.268621215093013,0.532010072085622
P52747,ZNF143,Zinc finger protein 143,13,13.087515,13.31461,-0.227095,0.854353480730311,Down,0.268961640240037,0.532402086886465
Q9HCD6,TANC2,Protein TANC2,23,13.93739,14.27031,-0.33292,0.793927954424906,Down,0.269024237066973,0.532402086886465
Q8WW59,SPRYD4,SPRY domain-containing protein 4,5,11.20755,11.499615,-0.292065,0.816732192765978,Down,0.269111267493293,0.532402086886465
P29558,RBMS1,"RNA-binding motif, single-stranded-interacting protein 1",3,12.18864,11.697585,0.491054999999999,1.40547228013855,Up,0.269141378769508,0.532402086886465
O43426,SYNJ1,Synaptojanin-1,28,14.43258,14.698715,-0.266135,0.831544283086515,Down,0.269231489217991,0.532420979126781
Q8TF50,ZNF526,Zinc finger protein 526,1,10.289222,9.232357,1.056865,2.08040585022972,Up,0.269406144733709,0.532607002855244
P09543,CNP,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",18,14.779115,14.973565,-0.19445,0.87390599243041,Down,0.269739562512484,0.532901641867752
Q9HCU5,PREB,Guanine nucleotide-exchange factor SEC12,7,13.196905,13.33709,-0.140185,0.907402789574635,Down,0.269782751776644,0.532901641867752
Q12802,AKAP13,A-kinase anchor protein 13,12,12.624165,12.462135,0.162030000000001,1.11886036684107,Up,0.269797078784914,0.532901641867752
Q4U2R6,MRPL51,Large ribosomal subunit protein mL51,3,13.383745,12.93253,0.451215000000001,1.36719118467434,Up,0.270018445333881,0.533179535468068
P14859,POU2F1,"POU domain, class 2, transcription factor 1",6,14.853765,14.778085,0.0756799999999984,1.05385764425923,Up,0.270359813681317,0.533694148333281
Q9NQV5,PRDM11,PR domain-containing protein 11,2,10.91284,10.552015,0.360824999999998,1.28416002995833,Up,0.271000823837793,0.534605247428994
Q969V3,NCLN,BOS complex subunit NCLN,18,14.36381,14.22474,0.13907,1.10119502711774,Up,0.271038848757596,0.534605247428994
Q14764,MVP,Major vault protein,30,15.164605,15.0317,0.132904999999999,1.09649938284229,Up,0.271131884135135,0.534605247428994
