Accession,Gene Name,Description,Unique peptides,Average(ADCY7),Average(NC),log2FoldChange,FoldChange,Regulation,p-value,q-value
Q96G21,IMP4,U3 small nucleolar ribonucleoprotein protein IMP4,9,14.904335,14.584495,0.319839999999999,1.24819211229025,Up,0.145690383169802,0.44646486822127
P30622,CLIP1,CAP-Gly domain-containing linker protein 1,39,14.30305,14.56222,-0.25917,0.835568493889883,Down,0.145701026822647,0.44646486822127
P31930,UQCRC1,"Cytochrome b-c1 complex subunit 1, mitochondrial",12,14.123475,14.630645,-0.50717,0.70360127390705,Down,0.145766445890794,0.44646486822127
P21291,CSRP1,Cysteine and glycine-rich protein 1,7,17.392035,17.593815,-0.20178,0.86947713861914,Down,0.145768188488746,0.44646486822127
O43293,DAPK3,Death-associated protein kinase 3,7,14.167935,13.752105,0.41583,1.3340659607255,Up,0.145891918285447,0.44646486822127
Q8NCY6,MSANTD4,Myb/SANT-like DNA-binding domain-containing protein 4,3,10.2332985,9.6686155,0.564683,1.47906248260874,Up,0.145909350442404,0.44646486822127
Q9NZL4,HSPBP1,Hsp70-binding protein 1,10,13.28491,13.682555,-0.397645,0.75909639226866,Down,0.145960089606437,0.44646486822127
O43815,STRN,Striatin,17,15.21173,15.49356,-0.28183,0.822546987843453,Down,0.146074586989368,0.44646486822127
Q13523,PRP4K,Serine/threonine-protein kinase PRP4 homolog,26,15.71682,15.587025,0.129794999999998,1.09413821845596,Up,0.146123795220216,0.44646486822127
Q9H9Y6,POLR1B,DNA-directed RNA polymerase I subunit RPA2,43,15.026425,14.95603,0.0703949999999995,1.0500041281945,Up,0.146129711134145,0.44646486822127
P36776,LONP1,"Lon protease homolog, mitochondrial",30,15.420955,15.634885,-0.21393,0.862185377498172,Down,0.146169012920921,0.44646486822127
O75431,MTX2,Metaxin-2,4,12.646905,12.7035,-0.056595,0.961530815866447,Down,0.146188343171468,0.44646486822127
O43447,PPIH,Peptidyl-prolyl cis-trans isomerase H,12,16.56806,16.341795,0.226265000000001,1.16980251832781,Up,0.146254567967779,0.44646486822127
P52948,NUP98,Nuclear pore complex protein Nup98-Nup96,55,16.789835,16.84431,-0.054475,0.962944797147937,Down,0.146333030869484,0.446498153747194
P78316,NOP14,Nucleolar protein 14,25,14.491805,14.21246,0.279344999999999,1.21364375119159,Up,0.146577894821189,0.446690387573415
Q8WXX5,DNAJC9,DnaJ homolog subfamily C member 9,8,14.423225,14.866675,-0.44345,0.735373962076433,Down,0.146661090602038,0.446690387573415
Q9BXW7,HDHD5,Haloacid dehalogenase-like hydrolase domain-containing 5,7,11.96491,12.38943,-0.42452,0.745086588567438,Down,0.146673529986339,0.446690387573415
Q96JB5,CDK5RAP3,CDK5 regulatory subunit-associated protein 3,12,13.2517,13.16503,0.0866699999999998,1.06191625750706,Up,0.146706847342911,0.446690387573415
Q5W0Q7,USPL1,SUMO-specific isopeptidase USPL1,3,12.21421,11.391775,0.822435,1.76838818442866,Up,0.146754936423701,0.446690387573415
P35250,RFC2,Replication factor C subunit 2,18,16.357755,16.43163,-0.073875,0.950082697701717,Down,0.146872048267173,0.446690387573415
O00291,HIP1,Huntingtin-interacting protein 1,30,14.76662,14.92185,-0.15523,0.89798920057471,Down,0.14722155824637,0.446690387573415
P46776,RPL27A,Large ribosomal subunit protein uL15,4,17.06631,17.241875,-0.175565,0.885420695518684,Down,0.147273454162182,0.446690387573415
Q9NYB0,TERF2IP,Telomeric repeat-binding factor 2-interacting protein 1,21,14.4418,14.332045,0.109755,1.0790449763833,Up,0.147381528070848,0.446690387573415
