sample_code	group	time_value	time_unit	time_label	time_hours	replicate	gene_id	gene_symbol_current	gene_symbol_matrix	gene_type	log2_rpkm
S10H2	Sham	10	hour	10 h	10	2	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-4.18594180838179
S10H3	Sham	10	hour	10 h	10	3	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-1.16410642770291
S20H1	Sham	20	hour	20 h	20	1	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-14.2877123795494
S20H2	Sham	20	hour	20 h	20	2	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-5.2414247627229
S20H3	Sham	20	hour	20 h	20	3	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-14.2877123795494
S48H1	Sham	48	hour	48 h	48	1	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-4.97596862195999
S48H2	Sham	48	hour	48 h	48	2	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-5.31628545526634
S48H3	Sham	48	hour	48 h	48	3	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-3.46777896899038
X1H1	Post-PH	1	hour	1 h	1	1	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-3.72559881833646
X1H2	Post-PH	1	hour	1 h	1	2	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-1.52196193169158
X1H3	Post-PH	1	hour	1 h	1	3	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-3.0295704553733
X1H4	Post-PH	1	hour	1 h	1	4	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-3.59245075877316
X1H5	Post-PH	1	hour	1 h	1	5	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-2.66864185622545
X1H6	Post-PH	1	hour	1 h	1	6	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-3.07340388094836
X4H4	Post-PH	4	hour	4 h	4	4	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-1.98500834611371
X4H5	Post-PH	4	hour	4 h	4	5	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-3.3759095125163
X4H6	Post-PH	4	hour	4 h	4	6	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-0.503031847822419
X10H1	Post-PH	10	hour	10 h	10	1	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-4.03314927808427
X10H2	Post-PH	10	hour	10 h	10	2	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-14.2877123795494
X10H3	Post-PH	10	hour	10 h	10	3	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-4.35162095694052
X10H4	Post-PH	10	hour	10 h	10	4	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-3.5168053844332
