sample_code	group	time_value	time_unit	time_label	time_hours	replicate	gene_id	gene_symbol_current	gene_symbol_matrix	gene_type	log2_rpkm
X36H3	Post-PH	36	hour	36 h	36	3	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	1.67986093444596
X36H4	Post-PH	36	hour	36 h	36	4	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	1.92566478995062
X36H5	Post-PH	36	hour	36 h	36	5	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	1.63359598554399
X36H6	Post-PH	36	hour	36 h	36	6	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	1.87115889149682
X44H1	Post-PH	44	hour	44 h	44	1	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	1.66666487486198
X44H2	Post-PH	44	hour	44 h	44	2	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	1.20730609154277
X44H3	Post-PH	44	hour	44 h	44	3	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	1.2174101948792
X48H1	Post-PH	48	hour	48 h	48	1	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	1.47011391445668
X48H2	Post-PH	48	hour	48 h	48	2	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	0.827018830563555
X48H3	Post-PH	48	hour	48 h	48	3	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	0.889493592231313
X48H4	Post-PH	48	hour	48 h	48	4	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	1.27502176336674
X48H5	Post-PH	48	hour	48 h	48	5	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	1.40408446815712
X72H1	Post-PH	72	hour	72 h	72	1	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	2.96351768236672
X72H2	Post-PH	72	hour	72 h	72	2	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	1.25232091609299
X72H3	Post-PH	72	hour	72 h	72	3	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	2.55033642688825
X1W1	Post-PH	1	week	1 wk	168	1	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	0.197595446786879
X1W2	Post-PH	1	week	1 wk	168	2	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	0.180926401650407
X1W3	Post-PH	1	week	1 wk	168	3	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	0.134169857280214
X4W1	Post-PH	4	week	4 wk	672	1	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	0.127046827068902
X4W2	Post-PH	4	week	4 wk	672	2	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	0.765582542418493
